District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position
SHIMOGA ,Sagar,GEN,SURESHA. C.,M,GEN,36,IND,1385,6
SHIMOGA ,Sagar,GEN,S. RAMACHANDRA,M,GEN,28,IND,597,7
SHIMOGA ,Sagar,GEN,K.N. VENKATESHA,M,GEN,48,BSP,549,8
SHIMOGA ,Sagar,GEN,MEGHARAJA. N. PUJARI,M,GEN,50,IND,532,9
SHIMOGA ,Sagar,GEN,GANESH. B. BELLI,M,GEN,42,BSRCP,420,10
SHIMOGA ,Sagar,GEN,DINESH BARADAVALLI,M,GEN,26,JD(U),378,11
UDUPI,Byndoor,GEN,K.GOPALA POOJARY,M,GEN,53,INC,82277,1
UDUPI,Byndoor,GEN,B.M. SUKUMAR SHETTY,M,GEN,61,BJP,51128,2
UDUPI,Byndoor,GEN,NAVEENCHANDRA UPPUNDA,M,GEN,40,KJP,4177,3
UDUPI,Byndoor,GEN,K.SHANKER,M,GEN,57,CPM,2960,4
UDUPI,Byndoor,GEN,H. SURESH POOJRAY,M,GEN,41,IND,1611,5
UDUPI,Byndoor,GEN,UDAYA KUMAR TALLUR,M,SC,36,BSP,1515,6
UDUPI,Byndoor,GEN,SURAYYA BANU,F,GEN,44,JD(S),1023,7
UDUPI,Byndoor,GEN,SRIDHAR PEDEMANE,M,GEN,48,IND,957,8
UDUPI,Byndoor,GEN,LOKESH VITTAL BORKAR SIRSI,M,SC,32,IND,630,9
UDUPI,Byndoor,GEN,DIVAKAR KOTIYAN,M,GEN,44,IND,620,10
UDUPI,Byndoor,GEN,ABDUL AZEEZ,M,GEN,48,IND,463,11
UDUPI,Byndoor,GEN,ABDUL HAZID,M,GEN,30,IND,395,12
UDUPI,Byndoor,GEN,"MANJUNATHA, K",M,ST,33,JD(U),334,13
UDUPI,Kundapura,GEN,HALADY SRINIVASA SHETTY,M,GEN,62,IND,80563,1
UDUPI,Kundapura,GEN,MALLYADI SHIVARAMA SHETTY,M,GEN,58,INC,39952,2
UDUPI,Kundapura,GEN,KISHORE KUMAR,M,GEN,41,BJP,14524,3
UDUPI,Kundapura,GEN,SRINIVASA.H,M,GEN,33,IND,2442,4
UDUPI,Kundapura,GEN,MANJUNATH,M,GEN,43,IND,764,5
UDUPI,Kundapura,GEN,KRISHNA BARATHCAL,M,SC,62,JD(U),738,6
UDUPI,Udupi,GEN,PRAMOD MADHWARAJ,M,GEN,45,INC,86868,1
UDUPI,Udupi,GEN,B. SUDHAKAR SHETTY,M,GEN,62,BJP,47344,2
UDUPI,Udupi,GEN,ALEVOOR YOGEESH ACHARYA,M,GEN,51,IND,1472,3
UDUPI,Udupi,GEN,BARKUR SATISH POOJARY,M,GEN,38,JD(S),1017,4
UDUPI,Udupi,GEN,MANJUNATH. V.,M,SC,32,BSP,986,5
UDUPI,Udupi,GEN,THUKARAM KOTIAN,M,GEN,46,IND,498,6
UDUPI,Udupi,GEN,NASIR HUSSAIN,M,GEN,37,IND,245,7
UDUPI,Kapu,GEN,VINAY KUMAR SORAKE,M,GEN,58,INC,52782,1
UDUPI,Kapu,GEN,LALAJI R.MENDON,M,GEN,53,BJP,50927,2
UDUPI,Kapu,GEN,VASANTH V.SALIAN,M,GEN,73,JD(S),4327,3
UDUPI,Kapu,GEN,ABDUL HAKEEM,M,GEN,37,SDPI,2171,4
UDUPI,Kapu,GEN,SRIKANTHA B.ACHARYA,M,GEN,40,IND,1174,5
UDUPI,Kapu,GEN,HAMEED,M,GEN,46,IND,1125,6
UDUPI,Kapu,GEN,VIJAYA KUMAR HEGDE.B,M,GEN,57,IND,467,7
UDUPI,Kapu,GEN,RONALD CASTELINO,M,GEN,46,IND,269,8
UDUPI,Kapu,GEN,RICHARD LOBO,M,GEN,50,IND,249,9
UDUPI,Kapu,GEN,KASIM,M,GEN,53,IND,208,10
UDUPI,Kapu,GEN,PRAVEEN KUMAR,M,GEN,32,IND,162,11
UDUPI,Karkal,GEN,V.SUNILL KUMAR,M,GEN,37,BJP,65039,1
UDUPI,Karkal,GEN,H.GOPAL BHANDARY,M,GEN,62,INC,60785,2
UDUPI,Karkal,GEN,WALTER D'SOUZA,M,GEN,46,JD(S),1302,3
UDUPI,Karkal,GEN,ANNA SUNIL SOANS,M,GEN,41,BSP,878,4
UDUPI,Karkal,GEN,U.K. SYAD,M,GEN,49,IND,873,5
UDUPI,Karkal,GEN,PRAVEEN POOJARI,M,GEN,50,KJP,553,6
UDUPI,Karkal,GEN,K P PADMAVATHI,F,GEN,57,IND,478,7
UDUPI,Karkal,GEN,RIYAZ,M,GEN,30,IND,334,8
UDUPI,Karkal,GEN,GOPALA,M,GEN,32,IND,232,9
CHIKMAGALUR ,Sringeri,GEN,D.N. JEEVARAJ,M,GEN,50,BJP,58402,1
CHIKMAGALUR ,Sringeri,GEN,T.D. RAJE GOWDA,M,GEN,54,INC,54950,2
CHIKMAGALUR ,Sringeri,GEN,T.C. RAJENDRA,M,GEN,49,JD(S),3941,3
CHIKMAGALUR ,Sringeri,GEN,K.V. MAHESH KUMAR,M,GEN,37,IND,1018,4
CHIKMAGALUR ,Sringeri,GEN,UMESH,M,SC,37,CPIM,505,5
CHIKMAGALUR ,Sringeri,GEN,K.C. PRAKASH,M,GEN,48,IND,462,6
CHIKMAGALUR ,Sringeri,GEN,ABRAHAM,M,GEN,52,IND,353,7
CHIKMAGALUR ,Sringeri,GEN,PURNESH G.R.,M,GEN,37,BSRCP,326,8
CHIKMAGALUR ,Mudigere,SC,B.B. NINGAIAH,M,SC,54,JD(S),32417,1
CHIKMAGALUR ,Mudigere,SC,B.N. CHANDRAPPA,M,SC,51,INC,31782,2
CHIKMAGALUR ,Mudigere,SC,M.P. KUMARASWAMY,M,SC,50,BJP,29309,3
CHIKMAGALUR ,Mudigere,SC,SAATHI SUNDARESH,M,SC,45,CPI,12721,4
CHIKMAGALUR ,Mudigere,SC,U.B. MANJAIAH,M,SC,52,BSP,1660,5
CHIKMAGALUR ,Mudigere,SC,B.M. RAMESH BYRIGADDE,M,SC,39,IND,1062,6
CHIKMAGALUR ,Mudigere,SC,COMRADE || KUMARA,M,SC,29,CPIM,827,7
CHIKMAGALUR ,Mudigere,SC,NANJUNDA,M,SC,59,IND,459,8
CHIKMAGALUR ,Chikmagalur,GEN,C T RAVI,M,GEN,45,BJP,58683,1
CHIKMAGALUR ,Chikmagalur,GEN,K S SHANTHE GOWDA,M,GEN,57,INC,47695,2
CHIKMAGALUR ,Chikmagalur,GEN,S L DHARME GOWDA,M,GEN,57,JD(S),24913,3
CHIKMAGALUR ,Chikmagalur,GEN,DR. K B VEDAMURTHY,M,GEN,41,KJP,3541,4
CHIKMAGALUR ,Chikmagalur,GEN,APSAR PASHA,M,GEN,50,NCP,801,5
CHIKMAGALUR ,Chikmagalur,GEN,SNAKE NARESH KUMAR,M,ST,45,IND,681,6
CHIKMAGALUR ,Chikmagalur,GEN,DWARAKISH,M,SC,29,HND,574,7
CHIKMAGALUR ,Chikmagalur,GEN,K REVANNA,M,GEN,38,IND,403,8
CHIKMAGALUR ,Chikmagalur,GEN,M M SUDEER,M,GEN,32,IND,387,9
CHIKMAGALUR ,Chikmagalur,GEN,MUNIYA BHOVI,M,SC,48,IND,365,10
CHIKMAGALUR ,Chikmagalur,GEN,DHARME GOWDA,M,GEN,42,IND,281,11
CHIKMAGALUR ,Chikmagalur,GEN,COM|| SURESH,M,SC,48,CPIM,226,12
CHIKMAGALUR ,Chikmagalur,GEN,U K GURUSHANTHAPPA,M,GEN,53,IND,172,13
CHIKMAGALUR ,Chikmagalur,GEN,HARISHA T,M,GEN,27,JD(U),162,14
CHIKMAGALUR ,Chikmagalur,GEN,APSAR PASHA,M,GEN,40,IND,161,15
CHIKMAGALUR ,Tarikere,GEN,G.H SRINIVASA,M,GEN,45,INC,35817,1
CHIKMAGALUR ,Tarikere,GEN,D.S SURESH,M,GEN,45,KJP,34918,2
CHIKMAGALUR ,Tarikere,GEN,H.M GOPI KRISHNA,M,GEN,38,IND,34554,3
CHIKMAGALUR ,Tarikere,GEN,T.R NAGARAJ,M,GEN,65,JD(S),8421,4
CHIKMAGALUR ,Tarikere,GEN,AVINASH T.J,M,GEN,39,BJP,2989,5
CHIKMAGALUR ,Tarikere,GEN,DORANALU SURESH,M,GEN,36,SKP,2116,6
CHIKMAGALUR ,Tarikere,GEN,THEERTHAPPA,M,GEN,39,IND,978,7
CHIKMAGALUR ,Tarikere,GEN,DEVARAJU T.S,M,GEN,51,SAJP,881,8
CHIKMAGALUR ,Tarikere,GEN,JAYARAMU V,M,SC,73,IND,839,9
CHIKMAGALUR ,Tarikere,GEN,H.P ASHOKA,M,GEN,34,IND,795,10
CHIKMAGALUR ,Tarikere,GEN,T.S SURESHA,M,GEN,42,IND,608,11
CHIKMAGALUR ,Tarikere,GEN,K MANJUNATHA,M,SC,44,BSRCP,600,12
CHIKMAGALUR ,Tarikere,GEN,NEELAKANTAPPA B.R,M,GEN,67,IND,415,13
CHIKMAGALUR ,Tarikere,GEN,H.S NEELAKANTAPPA HOSURU,M,GEN,37,IND,318,14
CHIKMAGALUR ,Tarikere,GEN,B.R PARAMESHA NAIK,M,SC,29,IND,278,15
CHIKMAGALUR ,Tarikere,GEN,SURESHA A,M,GEN,31,IND,200,16
CHIKMAGALUR ,Kadur,GEN,Y.S.V.DATTA,M,GEN,59,JD(S),68733,1
CHIKMAGALUR ,Kadur,GEN,BELLI  PRAKASH,M,GEN,48,KJP,26300,2
CHIKMAGALUR ,Kadur,GEN,K.B.MALLIKARJUNA,M,GEN,62,INC,24745,3
CHIKMAGALUR ,Kadur,GEN,BIRUR DEVARAJ,M,GEN,55,BJP,9332,4
CHIKMAGALUR ,Kadur,GEN,K.M.KEMPARAJU,M,GEN,59,BSRCP,7309,5
CHIKMAGALUR ,Kadur,GEN,B.M.MADHU,M,GEN,31,LSP,2179,6
CHIKMAGALUR ,Kadur,GEN,K.H.NAGARAJU,M,GEN,34,IND,1829,7
CHIKMAGALUR ,Kadur,GEN,K.R.GANGADHARAPPA,M,SC,60,IND,632,8
CHIKMAGALUR ,Kadur,GEN,KUMARANAIK T.B.,M,SC,35,IND,479,9
TUMKUR ,Chiknayakanhalli,GEN,C.B.SURESHBABU,M,GEN,42,JD(S),60759,1
TUMKUR ,Chiknayakanhalli,GEN,J.C.MADHUSWAMY,M,GEN,60,KJP,49620,2
TUMKUR ,Chiknayakanhalli,GEN,K.S.KIRANA KUMAR,M,GEN,49,BJP,29150,3
TUMKUR ,Chiknayakanhalli,GEN,SATHISH SASALU,M,GEN,33,INC,10344,4
TUMKUR ,Chiknayakanhalli,GEN,KENKERE SATHISH,M,GEN,42,KRRS,2086,5
TUMKUR ,Chiknayakanhalli,GEN,CAPTAIN SOMASHEKAR,M,GEN,55,BSP,1743,6
TUMKUR ,Chiknayakanhalli,GEN,C.M.MANJULA NAGARAJU,F,GEN,45,IND,1725,7
TUMKUR ,Chiknayakanhalli,GEN,RAMACHANDRAIAH BARAGURU,M,SC,54,IND,1648,8
TUMKUR ,Chiknayakanhalli,GEN,DEVARAJU K.L,M,GEN,39,BSRCP,1624,9
TUMKUR ,Chiknayakanhalli,GEN,G.PRAKASH,M,GEN,35,JD(U),1108,10
TUMKUR ,Chiknayakanhalli,GEN,HANUMANTHARAMANAYAK,M,SC,30,WPOI,1019,11
TUMKUR ,Tiptur,GEN,K.SHADAKSHARI,M,GEN,64,INC,56817,1
TUMKUR ,Tiptur,GEN,B.C.NAGESH,M,GEN,53,BJP,45215,2
TUMKUR ,Tiptur,GEN,LOKESHWARA,M,GEN,55,KJP,28667,3
TUMKUR ,Tiptur,GEN,M.LINGARAJU (JAKKANAHALLI),M,GEN,39,JD(S),6104,4
TUMKUR ,Tiptur,GEN,VEERABHADRAIAH M.C.,M,GEN,42,IND,880,5
TUMKUR ,Tiptur,GEN,ABDULWAKEEL,M,GEN,43,BSP,847,6
TUMKUR ,Tiptur,GEN,SUDHARSHAN K.G,M,SC,45,BSRCP,504,7
TUMKUR ,Tiptur,GEN,H.L.MOHANKUMAR,M,GEN,33,IND,450,8
TUMKUR ,Tiptur,GEN,L.P.YADUNANDANA,M,GEN,49,IND,415,9
TUMKUR ,Tiptur,GEN,LINGADAHALLI RAJASHEKARA,M,GEN,43,IND,354,10
TUMKUR ,Turuvekere,GEN,M.T.KRISHNAPPA,M,GEN,62,JD(S),66089,1
TUMKUR ,Turuvekere,GEN,MASALA JAYARAM,M,GEN,45,KJP,57164,2
TUMKUR ,Turuvekere,GEN,GEETHA RAJANNA,F,GEN,32,INC,7513,3
TUMKUR ,Turuvekere,GEN,B.K.SOMASHEKARA,M,GEN,45,BJP,3542,4
TUMKUR ,Turuvekere,GEN,SHIVAKUMAR,M,GEN,43,IND,1121,5
TUMKUR ,Turuvekere,GEN,RAJASHEKARA  (HELICOPTER),M,GEN,38,BSRCP,1068,6
TUMKUR ,Turuvekere,GEN,M. T. KRISHNAPPA,M,GEN,65,IND,851,7
TUMKUR ,Turuvekere,GEN,CHETHAN RANGANATH,M,GEN,38,IND,743,8
TUMKUR ,Turuvekere,GEN,H.MAHESHA,M,GEN,53,IND,722,9
TUMKUR ,Turuvekere,GEN,D.G.GOPALAIAH,M,SC,43,BSP,472,10
TUMKUR ,Turuvekere,GEN,D.K.THIMMEGOWDA,M,GEN,63,IND,399,11
TUMKUR ,Turuvekere,GEN,N.C.PRAKASH,M,GEN,43,IND,390,12
TUMKUR ,Kunigal,GEN,D. NAGARAJAIAH,M,GEN,69,JD(S),44575,1
TUMKUR ,Kunigal,GEN,D.KRISHNAKUMAR,M,GEN,56,BJP,34943,2
TUMKUR ,Kunigal,GEN,B.B. RAMASWAMYGOWDA,M,GEN,57,INC,33918,3
TUMKUR ,Kunigal,GEN,C.N. RAVIKIRAN,M,GEN,39,IND,24604,4
TUMKUR ,Kunigal,GEN,DHANARAJ HERUR,M,SC,31,RPI,1280,5
TUMKUR ,Kunigal,GEN,B.V. PRAKASH,M,GEN,48,KJP,1029,6
TUMKUR ,Kunigal,GEN,A.L. NANJAPPA,M,GEN,55,IND,926,7
TUMKUR ,Kunigal,GEN,V.T. JAYARAM,M,GEN,40,IND,833,8
TUMKUR ,Kunigal,GEN,N.R.LAKSHMINARAYANA,M,SC,48,BSRCP,437,9
TUMKUR ,Tumkur City,GEN,DR. RAFEEQ AHMED S.,M,GEN,45,INC,43681,1
TUMKUR ,Tumkur City,GEN,G.B. JYOTHI GANESH,M,GEN,38,KJP,40073,2
TUMKUR ,Tumkur City,GEN,N. GOVINDARAJU,M,GEN,48,JD(S),38322,3
TUMKUR ,Tumkur City,GEN,S. SHIVANNA(SOGADU),M,GEN,66,BJP,13159,4
TUMKUR ,Tumkur City,GEN,MOHAMMED SADIQ JAMEEL (BANU),M,GEN,42,SDPI,698,5
TUMKUR ,Tumkur City,GEN,SYED WAJID AHMED,M,GEN,45,IND,552,6
TUMKUR ,Tumkur City,GEN,RAHAMATH SHARIFF,M,GEN,30,IND,505,7
TUMKUR ,Tumkur City,GEN,SHIVARAMAIAH,M,GEN,46,BSRCP,278,8
TUMKUR ,Tumkur City,GEN,RAJANIKANTH  B.R.,M,GEN,31,IND,263,9
TUMKUR ,Tumkur City,GEN,SUHAS S.L.,M,GEN,29,IND,259,10
TUMKUR ,Tumkur City,GEN,M. SIDDALINGAIAH,M,SC,65,IND,174,11
TUMKUR ,Tumkur City,GEN,B.T. SUNANDA,F,GEN,31,JD(U),144,12
TUMKUR ,Tumkur City,GEN,NANJEGOWDA R.,M,GEN,35,IND,131,13
TUMKUR ,Tumkur City,GEN,TOUFEEQ ULLA KHAN,M,GEN,47,IND,78,14
TUMKUR ,Tumkur Rural,GEN,B.SURESH GOWDA,M,GEN,48,BJP,55029,1
TUMKUR ,Tumkur Rural,GEN,GOWRISHANKAR.D.C.,M,GEN,36,JD(S),53457,2
TUMKUR ,Tumkur Rural,GEN,H.NINGAPPA,M,GEN,64,KJP,22709,3
TUMKUR ,Tumkur Rural,GEN,AUDITOR NAGARAJU YALACHAVADI,M,GEN,47,INC,8599,4
TUMKUR ,Tumkur Rural,GEN,N.GANGAIAH,M,SC,65,BSP,1060,5
TUMKUR ,Tumkur Rural,GEN,SIDDARAMEGOWDA.T.B.,M,GEN,46,IND,1041,6
TUMKUR ,Tumkur Rural,GEN,B.H.KALAIAH,M,GEN,70,JD(U),935,7
TUMKUR ,Tumkur Rural,GEN,VIJAYAKUMAR N.,M,GEN,30,IND,662,8
TUMKUR ,Tumkur Rural,GEN,K.V.SRINIVAS KALKERE,M,SC,37,IND,637,9
TUMKUR ,Tumkur Rural,GEN,MEHAR TAJ,F,GEN,51,IND,558,10
TUMKUR ,Tumkur Rural,GEN,LAKSHMI,F,GEN,49,IND,530,11
TUMKUR ,Tumkur Rural,GEN,M.KUMBAIAH,M,SC,55,BSRCP,497,12
TUMKUR ,Tumkur Rural,GEN,ANWAR,M,GEN,57,IND,410,13
TUMKUR ,Tumkur Rural,GEN,DATTATREYA.M.J.,M,GEN,30,IND,338,14
TUMKUR ,Tumkur Rural,GEN,D.LAKSHMAIAH,M,SC,37,IND,263,15
TUMKUR ,Koratagere,SC,SUDHAKARA LAL .P.R,M,SC,48,JD(S),72229,1
TUMKUR ,Koratagere,SC,DR. G.PARAMESHWARA,M,SC,62,INC,54074,2
TUMKUR ,Koratagere,SC,CHANDRAIAH (VAALE CHANDRAIAH),M,SC,47,KJP,15738,3
TUMKUR ,Koratagere,SC,PEDDARAJU,M,SC,44,BJP,3088,4
TUMKUR ,Koratagere,SC,M.L. SANTHOSH,M,SC,34,IND,1388,5
TUMKUR ,Koratagere,SC,ANJANEYA,M,SC,52,BSRCP,1265,6
TUMKUR ,Koratagere,SC,NARASIMHAMURTHY,M,SC,47,IND,1100,7
TUMKUR ,Koratagere,SC,BULLA SUBBARAO,M,SC,69,BSP,989,8
TUMKUR ,Koratagere,SC,D. LALITHA KRISHNAMURTHY,F,SC,36,IND,547,9
TUMKUR ,Koratagere,SC,L. JANARDHANASWAMY,M,SC,34,NPP,519,10
TUMKUR ,Koratagere,SC,LAKSHMINARASAIAH,M,SC,47,IND,482,11
TUMKUR ,Koratagere,SC,SHANTHAKUMAR. V,M,SC,36,IND,454,12
TUMKUR ,Koratagere,SC,MUTTURAJU. P.M,M,SC,38,IND,369,13
TUMKUR ,Gubbi,GEN,S R SHRINIVAS (VASU),M,GEN,51,JD(S),58783,1
TUMKUR ,Gubbi,GEN,G.N. BETTASWAMY,M,GEN,54,KJP,51539,2
TUMKUR ,Gubbi,GEN,HONNAGIRIGOWDA,M,GEN,49,INC,18548,3
TUMKUR ,Gubbi,GEN,NATARAJA SAGARANAHALLY,M,GEN,50,BJP,2396,4
TUMKUR ,Gubbi,GEN,G.K. HUCCHEGOWDA,M,GEN,40,BSRCP,2233,5
TUMKUR ,Gubbi,GEN,BETTASWAMY,M,GEN,40,IND,1798,6
TUMKUR ,Gubbi,GEN,H M UMESH,M,GEN,41,JD(U),767,7
TUMKUR ,Gubbi,GEN,A R SRINIVASAMURTHY,M,ST,37,IND,669,8
TUMKUR ,Gubbi,GEN,SHIVANNA MARANAHALLY,M,SC,53,BSP,583,9
TUMKUR ,Gubbi,GEN,LOKESH  P.C,M,GEN,29,IND,569,10
TUMKUR ,Gubbi,GEN,H.S.MALLIKARJUNAIAH,M,GEN,37,IND,545,11
TUMKUR ,Gubbi,GEN,GIRIYAPPA H.H,M,SC,43,IND,483,12
TUMKUR ,Gubbi,GEN,C P VIJAYAKUMAR CHELURU,M,GEN,47,IND,426,13
TUMKUR ,Gubbi,GEN,RAJANIKANTH B R,M,SC,31,IND,320,14
TUMKUR ,Sira,GEN,T B JAYACHANDRA,M,GEN,64,INC,74089,1
TUMKUR ,Sira,GEN,B.SATHYANARAYANA,M,GEN,60,JD(S),59408,2
TUMKUR ,Sira,GEN,B K MANJUNATHA,M,GEN,51,BJP,18884,3
TUMKUR ,Sira,GEN,SHASHI KUMAR.R,M,GEN,27,IND,1642,4
TUMKUR ,Sira,GEN,INTHIYAZ AHAMED,M,GEN,42,KJP,1415,5
TUMKUR ,Sira,GEN,N RAJANNA,M,SC,48,BSP,1090,6
TUMKUR ,Sira,GEN,K.MUDALAGIRIYAPPA,M,GEN,51,BSRCP,766,7
TUMKUR ,Sira,GEN,B.A.MANJUNATHA,M,GEN,44,IND,471,8
TUMKUR ,Sira,GEN,ERANNA.D.M,M,GEN,26,IND,395,9
TUMKUR ,Sira,GEN,B.K.JAYACHANDRA,M,GEN,34,IND,354,10
TUMKUR ,Sira,GEN,R.JAYARAMAIAH,M,GEN,66,JD(U),340,11
TUMKUR ,Sira,GEN,SRINIVASA (SEENAPPA),M,SC,28,LJP,330,12
TUMKUR ,Sira,GEN,MARUTHI,M,GEN,64,IND,261,13
TUMKUR ,Pavagada,SC,K.M.THIMMARAYAPPA,M,SC,55,JD(S),68686,1
TUMKUR ,Pavagada,SC,H.V.VENKATESH,M,SC,35,INC,63823,2
TUMKUR ,Pavagada,SC,G.V.VIJAYARAJ,M,SC,48,BJP,5327,3
TUMKUR ,Pavagada,SC,UGRANARASIMHAPPA,M,SC,65,BSRCP,1260,4
TUMKUR ,Pavagada,SC,SEVENAIK (SHIVA),M,SC,44,NCP,1236,5
TUMKUR ,Pavagada,SC,PAVAGADA SRIRAM,M,SC,42,KJP,1229,6
TUMKUR ,Pavagada,SC,HANUMANTHARAYA.O,M,SC,26,IND,1072,7
TUMKUR ,Pavagada,SC,NAGARATHNAMMA,F,SC,59,BSP,1045,8
TUMKUR ,Pavagada,SC,MRUTHYUNJAYA,M,SC,32,IND,501,9
TUMKUR ,Pavagada,SC,K.VENKATESH,M,SC,33,IND,431,10
TUMKUR ,Pavagada,SC,K.GOPALA,M,SC,38,JD(U),272,11
TUMKUR ,Pavagada,SC,MADLETAPPA,M,SC,30,IND,269,12
TUMKUR ,Pavagada,SC,GANGADHAR,M,SC,30,IND,229,13
TUMKUR ,Madhugiri,GEN,KYATASANDRA N.RAJANNA,M,GEN,62,INC,75086,1
TUMKUR ,Madhugiri,GEN,M.V.VEERABHADRAIAH,M,GEN,58,JD(S),60659,2
TUMKUR ,Madhugiri,GEN,LAKSHMINARAYANA,M,GEN,66,IND,2183,3
TUMKUR ,Madhugiri,GEN,"KORAMANGALA MUNIYAPPA,",M,GEN,51,BSP,1992,4
TUMKUR ,Madhugiri,GEN,RAJANNA,M,GEN,51,IND,1929,5
TUMKUR ,Madhugiri,GEN,B.SUMITRADEVI,F,GEN,43,BJP,1741,6
TUMKUR ,Madhugiri,GEN,MAHADEVAPPA. N.,M,GEN,26,IND,518,7
TUMKUR ,Madhugiri,GEN,BHARATHESHA.M.R.,M,GEN,45,IND,430,8
TUMKUR ,Madhugiri,GEN,K.R.RAJANNA,M,GEN,49,IND,421,9
TUMKUR ,Madhugiri,GEN,KRISHNAMURTHY M.R.(KRISHNA HALLIKAR),M,GEN,39,BSRCP,273,10
TUMKUR ,Madhugiri,GEN,G.NAGENDRA,M,SC,38,IND,252,11
TUMKUR ,Madhugiri,GEN,M.N.VENUGOPALA RAO,M,GEN,49,IND,243,12
TUMKUR ,Madhugiri,GEN,YATHUGONAHALLI C.RANGASWAMY,M,GEN,73,IND,239,13
TUMKUR ,Madhugiri,GEN,RAMANJAIAH. L.,M,SC,46,JD(U),197,14
TUMKUR ,Madhugiri,GEN,S.H.BHASKAR (GOWDA),M,GEN,47,IND,186,15
TUMKUR ,Madhugiri,GEN,SANNEERAPPA,M,GEN,50,IND,177,16
TUMKUR ,Madhugiri,GEN,K.SAROJAMMA,F,SC,58,BDBRAJP,173,17
TUMKUR ,Madhugiri,GEN,THIPPANNA CHOWDARY . L.,M,GEN,48,IND,163,18
TUMKUR ,Madhugiri,GEN,G.NAGARAJA,M,GEN,63,IND,140,19
TUMKUR ,Madhugiri,GEN,G.M.NAGARAJU,M,GEN,36,IND,110,20
TUMKUR ,Madhugiri,GEN,ADHINARAYANAPPA,M,GEN,30,IND,109,21
TUMKUR ,Madhugiri,GEN,T.VENKATAREDDY,M,GEN,43,IND,87,22
CHIKKABALLAPUR ,Gauribidanur,GEN,N H SHIVASHANKARA REDDY,M,GEN,59,INC,50131,1
CHIKKABALLAPUR ,Gauribidanur,GEN,K JAIPALA REDDY,M,GEN,35,IND,44056,2
CHIKKABALLAPUR ,Gauribidanur,GEN,N M RAVINARAYANA REDDY,M,GEN,61,BJP,31840,3
CHIKKABALLAPUR ,Gauribidanur,GEN,S V ASHWATHANARAYANA REDDY,M,GEN,76,JD(S),10957,4
CHIKKABALLAPUR ,Gauribidanur,GEN,K SOMASHEKAR,M,GEN,31,BSRCP,3526,5
CHIKKABALLAPUR ,Gauribidanur,GEN,MURALIDAR P S,M,GEN,49,KJP,1735,6
CHIKKABALLAPUR ,Gauribidanur,GEN,SYED ABHUL KHASIM,M,GEN,29,IND,1702,7
CHIKKABALLAPUR ,Gauribidanur,GEN,M RAMAKRISHNAIAH,M,SC,44,PPOI,1105,8
CHIKKABALLAPUR ,Gauribidanur,GEN,RAJASHEKAR MADIGA,M,GEN,36,BSP,952,9
CHIKKABALLAPUR ,Gauribidanur,GEN,H ANANDA KUMARA,M,GEN,44,IND,875,10
CHIKKABALLAPUR ,Gauribidanur,GEN,C C ASHWATHAPPA,M,ST,49,CPM,709,11
CHIKKABALLAPUR ,Gauribidanur,GEN,G N RAVI,M,GEN,49,IND,424,12
CHIKKABALLAPUR ,Gauribidanur,GEN,H N RAMAKRISHNA REDDY,M,GEN,66,IND,399,13
CHIKKABALLAPUR ,Gauribidanur,GEN,N H  SHIVASHANKARA REDDY,M,GEN,37,IND,305,14
CHIKKABALLAPUR ,Gauribidanur,GEN,K V SADASHIVAIAH,M,GEN,53,JD(U),237,15
CHIKKABALLAPUR ,Gauribidanur,GEN,SREERAMA REDDY,M,GEN,43,IND,215,16
CHIKKABALLAPUR ,Bagepalli,GEN,S.N SUBBAREDDY(CHINNAKAYALAPALLI),M,GEN,47,IND,66227,1
CHIKKABALLAPUR ,Bagepalli,GEN,SRIRAMAREDDY G.V,M,GEN,61,CPM,35472,2
CHIKKABALLAPUR ,Bagepalli,GEN,HARINATHAREDDY,M,GEN,37,JD(S),16779,3
CHIKKABALLAPUR ,Bagepalli,GEN,N SAMPANGI,M,GEN,51,INC,15491,4
CHIKKABALLAPUR ,Bagepalli,GEN,R.N. RAGHUNATH REDDY,M,GEN,50,IND,2478,5
CHIKKABALLAPUR ,Bagepalli,GEN,VENKATARAVANA REDDY,M,GEN,43,IND,1666,6
CHIKKABALLAPUR ,Bagepalli,GEN,S.N SUBBAREDDY,M,GEN,36,IND,1510,7
CHIKKABALLAPUR ,Bagepalli,GEN,K.A SRINATH,M,GEN,29,IND,1184,8
CHIKKABALLAPUR ,Bagepalli,GEN,M NARAYANASWAMY (MNS),M,ST,55,BJP,1084,9
CHIKKABALLAPUR ,Bagepalli,GEN,SUBBIREDDY,M,GEN,68,IND,1074,10
CHIKKABALLAPUR ,Bagepalli,GEN,R. MUNIRAJU,M,SC,54,KJP,965,11
CHIKKABALLAPUR ,Bagepalli,GEN,H.V. SHIVASHANKAR,M,ST,46,BSRCP,793,12
CHIKKABALLAPUR ,Bagepalli,GEN,ASHWATHREDDY,M,GEN,50,IND,646,13
CHIKKABALLAPUR ,Bagepalli,GEN,HARI. R,M,GEN,37,IND,598,14
CHIKKABALLAPUR ,Bagepalli,GEN,SUBBAREDDY,M,GEN,37,IND,565,15
CHIKKABALLAPUR ,Bagepalli,GEN,KESHAVAREDDY M.V,M,GEN,28,IND,558,16
CHIKKABALLAPUR ,Bagepalli,GEN,C. VENKATESH,M,ST,30,IND,446,17
