District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position,Winner,Winning Party,Lost By Votes,Lost By (percentage)
CHITRADURGA ,Chitradurga,GEN,BASAVARAJAN (BASANNA),M,GEN,50,JD(S),35510,2,G.H.THIPPAREDDY,BJP,26718,42.94
CHITRADURGA ,Hiriyur,GEN,A.KRISHNAPPA,M,GEN,68,JD(S),70456,2,D.SUDHAKAR,INC,1205,1.68
CHITRADURGA ,Hosadurga,GEN,GULIHATTI D. SHEKAR,M,SC,44,IND,37993,2,B.G. GOVINDAPPA,INC,20017,34.51
CHITRADURGA ,Holalkere,SC,M. CHANDRAPPA,M,SC,58,KJP,63992,2,H. ANJANEYA,INC,12864,16.74
DAVANGERE ,Jagalur,ST,S.V.RAMACHANDRA,M,ST,54,KJP,40915,2,H.P.RAJESH,INC,36890,47.41
DAVANGERE ,Harapanahalli,GEN,G KARUNAKARAREDDY,M,GEN,51,BJP,48548,2,M P RAVINDRA,INC,8406,14.76
DAVANGERE ,Harihar,GEN,S.RAMAPPA,M,GEN,54,INC,40613,2,H.S. SHIVASHANKAR,JD(S),19053,31.93
DAVANGERE ,Davanagere North,GEN,S A RAVINDRANATH,M,GEN,67,BJP,30821,2,S S MALLIKARJUNA,INC,57280,65.02
DAVANGERE ,Davanagere South,GEN,KAREKATTE SYED SAIFULLA,M,GEN,65,JD(S),26162,2,SHAMANUR SHIVASHANKARAPPA,INC,40158,60.55
DAVANGERE ,Mayakonda,SC,N.LINGANNA,M,SC,60,KJP,31741,2,K.SHIVAMURTHY,INC,694,2.14
DAVANGERE ,Channagiri,GEN,K.MADAL VIRUPAKSHAPPA,M,GEN,65,KJP,51582,2,VADNAL RAJANNA,INC,1773,3.32
DAVANGERE ,Honnali,GEN,M. P. RENUKACHARYA,M,GEN,52,KJP,60051,2,D. G SHANTANA GOWDA,INC,18738,23.78
SHIMOGA ,Shimoga Rural,SC,G.BASAVANNAPPA,M,SC,80,KJP,38530,2,SHARADA POORYANAIK,JD(S),10109,20.78
SHIMOGA ,Bhadravati,GEN,B.K.SANGAMESHWARA,M,GEN,50,IND,34271,2,APPAJI. M.J,JD(S),44099,56.27
SHIMOGA ,Shimoga,GEN,S. RUDREGOWDA,M,GEN,63,KJP,39077,2,K.B. PRASANNAKUMAR,INC,278,0.71
SHIMOGA ,Tirthahalli,GEN,R. M. MANJUNATHA GOWDA,M,GEN,55,KJP,35817,2,KIMMANE RATNAKAR,INC,1343,3.61
SHIMOGA ,Shikaripura,GEN,HS SHANTHAVIRAPPA GOWDA,M,,,INC,65117,2,B.Y.RAGHAVENDRA,BJP,6430,8.99
